run,t_s,rho_per_m2,speed_mps,n_in_area
crossing_90_a_01,10.562,0.25,1.02074,1
crossing_90_a_01,11.062,0.25,1.01417,1
crossing_90_a_01,11.562,0.25,0.998974,1
crossing_90_a_01,12.062,0.25,1.02526,1
crossing_90_a_01,13.062,0.25,1.016,1
crossing_90_a_01,13.562,0.25,0.96376,1
crossing_90_a_01,14.062,0.25,0.979664,1
crossing_90_a_01,14.562,0.25,1.00699,1
crossing_90_a_01,16.062,0.25,1.05611,1
crossing_90_a_01,16.562,0.25,1.03005,1
crossing_90_a_01,17.062,0.25,1.04146,1
crossing_90_a_01,18.562,0.25,0.980343,1
crossing_90_a_01,19.062,0.25,0.957673,1
crossing_90_a_01,19.562,0.25,0.903074,1
crossing_90_a_01,20.062,0.5,0.909486,2
crossing_90_a_01,20.562,0.25,0.912428,1
crossing_90_a_01,21.062,0.25,0.871515,1
crossing_90_a_01,21.562,0.25,0.900687,1
crossing_90_a_01,23.062,0.5,0.859241,2
crossing_90_a_01,23.562,0.5,0.85046,2
crossing_90_a_01,24.062,0.5,0.871695,2
crossing_90_a_01,24.562,0.5,0.877492,2
crossing_90_a_01,25.062,0.5,0.883605,2
crossing_90_a_01,26.062,0.25,0.808145,1
crossing_90_a_01,26.562,0.25,0.813343,1
crossing_90_a_01,27.062,0.5,0.751012,2
crossing_90_a_01,27.562,0.5,0.759689,2
crossing_90_a_01,28.062,1.25,0.680261,5
crossing_90_a_01,28.562,1,0.647164,4
crossing_90_a_01,29.062,1.5,0.643735,6
crossing_90_a_01,29.562,1.25,0.655415,5
crossing_90_a_01,30.062,1.25,0.629971,5
crossing_90_a_01,30.562,1.25,0.605616,5
crossing_90_a_01,31.062,1,0.581623,4
crossing_90_a_01,31.562,1.25,0.574603,5
crossing_90_a_01,32.062,1.5,0.653074,6
crossing_90_a_01,32.562,1.25,0.692493,5
crossing_90_a_01,33.062,1,0.705687,4
crossing_90_a_01,33.562,0.75,0.786149,3
crossing_90_a_01,34.062,0.5,0.812263,2
crossing_90_a_01,34.562,0.25,0.795692,1
crossing_90_a_01,35.062,0.25,0.966359,1
crossing_90_a_01,35.562,0.5,0.889025,2
crossing_90_a_01,36.062,1,0.76433,4
crossing_90_a_01,36.562,1.25,0.761553,5
crossing_90_a_01,37.062,1,0.737724,4
crossing_90_a_01,37.562,1,0.784075,4
crossing_90_a_01,38.062,0.75,0.816796,3
crossing_90_a_01,38.562,0.5,0.870179,2
crossing_90_a_01,39.062,0.25,0.732687,1
crossing_90_a_01,39.562,0.25,0.837179,1
crossing_90_a_01,40.062,0.5,0.697393,2
crossing_90_a_01,40.562,0.75,0.800803,3
crossing_90_a_01,41.062,0.75,0.840793,3
crossing_90_a_01,41.562,0.5,0.827711,2
crossing_90_a_01,42.062,0.5,0.834612,2
crossing_90_a_01,42.562,1,0.883254,4
crossing_90_a_01,43.062,0.5,0.881513,2
crossing_90_a_01,43.562,0.75,0.849475,3
crossing_90_a_01,44.062,0.75,0.862927,3
crossing_90_a_01,44.562,1,0.894034,4
crossing_90_a_01,45.062,0.5,0.884094,2
crossing_90_a_01,45.562,1,0.937499,4
crossing_90_a_01,46.062,0.75,0.960764,3
crossing_90_a_01,46.562,0.5,0.991895,2
crossing_90_a_01,47.062,0.5,0.998293,2
crossing_90_a_01,48.062,0.5,1.06355,2
crossing_90_a_01,48.562,0.75,0.946964,3
crossing_90_a_01,49.062,1,0.973667,4
crossing_90_a_01,49.562,0.5,0.823099,2
crossing_90_a_01,50.062,0.5,0.831125,2
crossing_90_a_01,50.562,0.25,0.810514,1
crossing_90_a_01,51.062,0.25,0.862712,1
crossing_90_a_01,51.562,0.25,0.861114,1
crossing_90_a_01,52.062,0.5,0.896892,2
crossing_90_a_01,52.562,0.5,0.908184,2
crossing_90_a_01,53.062,0.5,0.977574,2
crossing_90_a_01,53.562,0.5,0.986212,2
crossing_90_a_01,54.062,0.5,1.00359,2
crossing_90_a_01,54.562,0.25,1.01617,1
crossing_90_a_01,55.562,0.25,0.95559,1
crossing_90_a_01,56.062,0.5,1.02799,2
crossing_90_a_01,56.562,0.5,1.03899,2
crossing_90_a_01,57.062,0.5,1.07826,2
crossing_90_a_01,58.562,0.25,0.976597,1
crossing_90_a_01,59.062,0.25,0.964105,1
crossing_90_a_01,59.562,0.25,0.972764,1
crossing_90_a_01,60.062,0.5,1.04372,2
crossing_90_a_01,60.562,0.25,1.15732,1
crossing_90_a_01,61.062,0.5,1.03972,2
crossing_90_a_01,61.562,0.25,0.900392,1
crossing_90_a_01,62.062,0.5,0.918983,2
crossing_90_a_01,62.562,0.5,0.960864,2
crossing_90_a_01,63.062,0.5,0.936332,2
crossing_90_a_01,63.562,0.5,0.954989,2
crossing_90_a_01,64.062,0.75,0.930255,3
crossing_90_a_01,64.562,0.5,0.969133,2
crossing_90_a_01,65.062,0.5,0.978791,2
crossing_90_a_01,65.562,0.5,0.99526,2
crossing_90_a_01,66.062,1,0.89141,4
crossing_90_a_01,66.562,0.75,0.913187,3
crossing_90_a_01,67.062,0.75,0.934408,3
crossing_90_a_01,67.562,0.5,0.94093,2
crossing_90_a_01,68.062,0.25,0.991581,1
crossing_90_a_01,68.562,0.25,0.994816,1
crossing_90_a_01,69.062,0.5,1.02942,2
crossing_90_a_01,69.562,0.5,1.00113,2
crossing_90_a_01,70.062,0.5,1.00463,2
crossing_90_a_01,70.562,0.75,1.00533,3
crossing_90_a_01,71.062,0.5,1.00188,2
crossing_90_a_01,71.562,0.25,0.968918,1
crossing_90_a_01,72.062,0.5,0.941668,2
crossing_90_a_01,72.562,0.25,0.882221,1
crossing_90_a_01,73.062,0.75,0.927319,3
crossing_90_a_01,73.562,1,0.896686,4
crossing_90_a_01,74.062,1,0.920995,4
crossing_90_a_01,74.562,0.75,0.992852,3
crossing_90_a_01,75.062,0.25,0.956477,1
crossing_90_a_01,75.562,0.5,0.913946,2
crossing_90_a_01,76.062,0.25,0.789713,1
crossing_90_a_01,76.562,0.75,0.845526,3
crossing_90_a_01,77.062,0.75,0.815313,3
crossing_90_a_01,77.562,0.75,0.825539,3
crossing_90_a_01,78.062,0.75,0.868498,3
