rho_per_m2,n,v_mean_mps,v_sd_mps,v_p10_mps,v_p50_mps,v_p90_mps
0.15,65,1.52948,0.203369,1.29508,1.51508,1.74515
0.25,274,1.29222,0.214233,1.01716,1.26702,1.56555
0.35,198,1.40877,0.141861,1.27015,1.38152,1.60236
0.45,99,1.39616,0.154164,1.169,1.43473,1.54775
0.55,582,1.25512,0.30395,0.979339,1.30643,1.55825
0.65,219,1.36362,0.166065,1.137,1.38555,1.57059
0.75,117,1.25626,0.179318,0.965541,1.306,1.41335
0.85,377,1.18486,0.255504,0.791962,1.23045,1.46744
0.95,45,1.14902,0.111906,0.993229,1.15359,1.2841
1.05,442,1.07202,0.263724,0.784538,1.05549,1.38243
1.15,416,0.928415,0.245664,0.63162,0.926376,1.22651
1.25,48,1.2212,0.167836,1.0568,1.24379,1.39351
1.35,505,0.835205,0.264505,0.471953,0.82185,1.17563
1.45,309,0.903626,0.298416,0.51534,0.933828,1.30763
1.55,237,0.785312,0.341174,0.184903,0.857029,1.16218
1.65,627,0.748509,0.255432,0.424824,0.772356,1.06201
1.75,210,0.555121,0.344611,0.0123216,0.585876,0.950426
1.85,340,0.715412,0.180949,0.4966,0.708166,0.954584
1.95,338,0.57522,0.232808,0.311193,0.522061,0.92285
2.05,382,0.592592,0.195619,0.349406,0.564443,0.876996
2.15,436,0.418464,0.271823,0.0047974,0.468672,0.785767
2.25,672,0.457184,0.173,0.235751,0.463113,0.647868
2.35,238,0.415878,0.194781,0.00657647,0.441005,0.57994
2.55,871,0.354223,0.160333,0.16903,0.348638,0.544559
2.65,191,0.321253,0.17445,0.0013936,0.353783,0.515966
2.75,543,0.234055,0.166322,-0.000353442,0.270603,0.42503
2.85,272,0.214043,0.126222,0.0137962,0.227715,0.349896
2.95,41,0.357282,0.0710218,0.274544,0.341937,0.450637
3.05,510,0.195864,0.135327,0.00402771,0.197688,0.356058
3.15,158,0.210599,0.111743,0.0378304,0.205014,0.345537
3.25,226,0.135119,0.0860607,0.0132308,0.12382,0.254493
3.35,184,0.175837,0.0996577,0.0533686,0.164801,0.319925
3.55,256,0.0988528,0.093253,-0.000539721,0.0885189,0.201343
3.65,130,0.127913,0.0764259,0.0210093,0.144582,0.192259
3.75,6,0.0437367,0.0119504,0.0314433,0.0443094,0.0554573
3.85,113,0.0761808,0.0836483,-0.00487835,0.042338,0.166562
3.95,68,0.0827658,0.0767535,0.000402685,0.0653082,0.180128
4.05,90,0.0444925,0.0646134,-0.00700799,0.00986043,0.154905
4.15,36,0.0575699,0.0385083,0.0120298,0.0540035,0.10656
4.25,44,0.0665488,0.0687897,-0.00225366,0.0327293,0.161325
4.45,30,0.02597,0.0361826,-0.00277567,0.0144757,0.071681
4.55,40,0.00789957,0.0156297,-0.00807127,0.00646432,0.0260196
4.65,26,0.031179,0.0525627,-0.00507467,0.0143957,0.10718
4.75,25,0.0117369,0.0294198,-0.00665204,0.00142646,0.0548487
5.05,14,0.0531853,0.0683239,-0.0148591,0.0246207,0.148848
