rho_per_m2,n,v_mean_mps,v_sd_mps,v_p10_mps,v_p50_mps,v_p90_mps
0.15,16,1.52605,0.16372,1.36502,1.49504,1.73815
0.25,76,1.41692,0.185101,1.15634,1.46432,1.5714
0.45,33,1.29024,0.170804,1.09849,1.27487,1.52307
0.55,86,1.19356,0.127596,1.03726,1.17804,1.32964
0.65,58,1.15881,0.089008,1.05444,1.16475,1.26825
0.85,58,1.15634,0.106926,1.01723,1.1639,1.27896
0.95,45,1.14902,0.111906,0.993229,1.15359,1.2841
1.05,44,1.08141,0.156387,0.984868,1.09502,1.24349
1.15,82,0.9699,0.167074,0.77665,1.0102,1.11871
1.35,84,0.910123,0.139876,0.754843,0.919928,1.05224
1.55,41,0.828467,0.135348,0.713736,0.844751,1.01652
1.65,129,0.732153,0.146231,0.528883,0.738854,0.913476
1.85,197,0.655099,0.137341,0.489643,0.635735,0.83043
2.05,105,0.576691,0.109904,0.463483,0.561965,0.724186
2.15,110,0.544092,0.0964391,0.431955,0.5427,0.684178
2.25,308,0.480661,0.117184,0.361073,0.481887,0.617324
2.35,162,0.368481,0.192552,0.00339979,0.414728,0.564699
2.55,130,0.406045,0.137875,0.31574,0.415125,0.533577
2.65,122,0.301243,0.199097,-0.00252663,0.357182,0.516354
2.75,244,0.148796,0.167806,-0.00398969,0.0665998,0.3657
2.85,69,0.179005,0.120441,0.0119278,0.206043,0.335091
3.05,68,0.157262,0.0972594,0.0339601,0.144029,0.268148
3.15,71,0.143965,0.104289,0.0214119,0.125813,0.280597
3.25,107,0.120713,0.0824262,0.0197596,0.104438,0.258761
3.35,28,0.0854902,0.0488428,0.0268134,0.079079,0.119222
3.55,23,0.0837226,0.052419,0.0187745,0.0851553,0.135372
3.65,20,0.0612876,0.0318274,0.0227553,0.0506404,0.108551
3.75,6,0.0437367,0.0119504,0.0314433,0.0443094,0.0554573
