rho_per_m2,n,v_mean_mps,v_sd_mps,v_p10_mps,v_p50_mps,v_p90_mps
0.25,107,1.10619,0.0992141,0.995263,1.11505,1.2307
0.35,112,1.35947,0.087712,1.26809,1.35365,1.46915
0.55,287,1.13229,0.352462,0.776178,1.15822,1.48975
0.75,117,1.25626,0.179318,0.965541,1.306,1.41335
0.85,112,0.88732,0.192739,0.689515,0.862817,1.11254
1.05,319,1.01092,0.264871,0.693736,0.987062,1.35188
1.15,227,0.786539,0.19096,0.554184,0.774952,1.068
1.35,270,0.656748,0.190684,0.427854,0.658303,0.893983
1.45,255,0.876781,0.311433,0.476718,0.892802,1.30977
1.55,135,0.624281,0.343173,0.023316,0.725839,0.973087
1.65,253,0.56405,0.217643,0.277836,0.535748,0.824736
1.75,210,0.555121,0.344611,0.0123216,0.585876,0.950426
1.95,228,0.479287,0.178514,0.270495,0.461011,0.737374
2.05,132,0.517471,0.220563,0.28998,0.464503,0.832691
2.15,257,0.315013,0.296158,-0.00341275,0.26901,0.800453
2.25,200,0.341767,0.195439,0.0309101,0.367699,0.524957
2.55,492,0.294751,0.160383,0.0853434,0.278954,0.459364
2.75,148,0.231535,0.119988,0.0649578,0.241692,0.361864
2.85,137,0.195618,0.130354,0.00818486,0.218663,0.324622
3.05,311,0.166304,0.144358,-0.000417834,0.157831,0.345642
3.25,119,0.148072,0.0875323,0.00937164,0.166607,0.248604
3.35,79,0.123521,0.0584177,0.0441989,0.128085,0.185941
3.55,199,0.085596,0.0931839,-0.00269896,0.0625621,0.200757
3.65,68,0.106381,0.0662169,0.0164678,0.119261,0.180561
3.85,95,0.0540968,0.0647495,-0.00585335,0.0168163,0.148906
3.95,68,0.0827658,0.0767535,0.000402685,0.0653082,0.180128
4.05,85,0.0378982,0.0601593,-0.00741583,0.00870729,0.139422
4.15,36,0.0575699,0.0385083,0.0120298,0.0540035,0.10656
4.25,44,0.0665488,0.0687897,-0.00225366,0.0327293,0.161325
4.45,30,0.02597,0.0361826,-0.00277567,0.0144757,0.071681
4.55,40,0.00789957,0.0156297,-0.00807127,0.00646432,0.0260196
4.65,26,0.031179,0.0525627,-0.00507467,0.0143957,0.10718
4.75,25,0.0117369,0.0294198,-0.00665204,0.00142646,0.0548487
5.05,14,0.0531853,0.0683239,-0.0148591,0.0246207,0.148848
