rho_per_m2,n,v_mean_mps,v_sd_mps,v_p10_mps,v_p50_mps,v_p90_mps
0.15,49,1.5306,0.216249,1.27727,1.5204,1.74265
0.25,91,1.40681,0.17754,1.1945,1.41926,1.61143
0.35,86,1.47298,0.170939,1.29315,1.497,1.67488
0.45,66,1.44912,0.113696,1.31356,1.45445,1.57088
0.55,209,1.44912,0.142787,1.26002,1.43628,1.62759
0.65,161,1.43741,0.118604,1.30253,1.43938,1.58632
0.85,207,1.35384,0.137551,1.16885,1.3627,1.51367
1.05,79,1.31353,0.139033,1.1634,1.31755,1.47587
1.15,107,1.19761,0.140045,1.03877,1.19708,1.38408
1.25,48,1.2212,0.167836,1.0568,1.24379,1.39351
1.35,151,1.11263,0.145262,0.958861,1.12053,1.27114
1.45,54,1.0304,0.181231,0.848923,1.02183,1.28265
1.55,61,1.11269,0.118459,0.963437,1.10752,1.26912
1.65,245,0.947603,0.178971,0.66703,0.96734,1.14575
1.85,143,0.7985,0.200332,0.510313,0.815613,1.07563
1.95,110,0.774064,0.205069,0.502237,0.811377,1.03337
2.05,145,0.672493,0.191004,0.460121,0.605364,0.935708
2.15,69,0.603507,0.163809,0.461699,0.565219,0.837692
2.25,164,0.553847,0.154663,0.394841,0.541121,0.798248
2.35,76,0.516908,0.158441,0.339872,0.526936,0.746322
2.55,249,0.444678,0.112814,0.307486,0.434508,0.576479
2.65,69,0.356633,0.111847,0.180163,0.342866,0.507734
2.75,151,0.374293,0.0927392,0.272497,0.349472,0.504166
2.85,66,0.28892,0.0893521,0.169704,0.306787,0.380945
2.95,41,0.357282,0.0710218,0.274544,0.341937,0.450637
3.05,131,0.286077,0.0778738,0.179121,0.298111,0.379694
3.15,87,0.264978,0.0853528,0.169953,0.29349,0.353363
3.35,77,0.262366,0.0782707,0.161886,0.290506,0.342491
3.55,34,0.186679,0.0640271,0.133267,0.168991,0.316451
3.65,42,0.1945,0.0571547,0.156564,0.174113,0.314702
3.85,18,0.192735,0.0762016,0.127875,0.16505,0.3297
4.05,5,0.156595,0.0160159,0.13998,0.159625,0.169319
