dataset,run,doi,corridor_width_m,fps,raw_unit,n_pedestrians,n_samples,rho_mean_steady,v_along_mean_steady,rect_x0,rect_y0,rect_x1,rect_y1
hermes_uni_closed,ug-100-007,10.34735/ped.2009.13,1,16,cm,31,109,0.513699,1.39264,0,-1,1,1
hermes_uni_closed,ug-100-015,10.34735/ped.2009.13,1,16,cm,39,80,0.639344,1.42611,0,-1,1,1
hermes_uni_closed,ug-100-030,10.34735/ped.2009.13,1,16,cm,73,180,1.02778,0.832024,0,-1,1,1
hermes_uni_closed,ug-100-045,10.34735/ped.2009.13,1,16,cm,115,214,1.48235,0.708549,0,-1,1,1
hermes_uni_closed,ug-100-060,10.34735/ped.2009.13,1,16,cm,75,150,1.9875,0.480489,0,-1,1,1
hermes_uni_closed,ug-100-075,10.34735/ped.2009.13,1,16,cm,56,140,2.46875,0.326893,0,-1,1,1
hermes_uni_closed,ug-100-090,10.34735/ped.2009.13,1,16,cm,92,266,3.01415,0.214928,0,-1,1,1
hermes_uni_closed,ug-100-120,10.34735/ped.2009.13,1,16,cm,42,282,3.71205,0.0643736,0,-1,1,1
hermes_uni_closed,ug-140-010,10.34735/ped.2009.13,1.4,16,cm,60,161,0.535714,1.24679,0,-1,1.4,1
hermes_uni_closed,ug-140-020,10.34735/ped.2009.13,1.4,16,cm,68,104,0.731293,1.37224,0,-1,1.4,1
hermes_uni_closed,ug-140-045,10.34735/ped.2009.13,1.4,16,cm,176,244,1.38623,0.943501,0,-1,1.4,1
hermes_uni_closed,ug-140-065,10.34735/ped.2009.13,1.4,16,cm,207,259,1.44918,0.828994,0,-1,1.4,1
hermes_uni_closed,ug-140-085,10.34735/ped.2009.13,1.4,16,cm,300,517,2.01666,0.456315,0,-1,1.4,1
hermes_uni_closed,ug-140-110,10.34735/ped.2009.13,1.4,16,cm,247,581,2.73502,0.207856,0,-1,1.4,1
hermes_uni_closed,ug-140-130,10.34735/ped.2009.13,1.4,16,cm,192,355,3.2105,0.345049,0,-1,1.4,1
hermes_uni_closed,ug-180-015,10.34735/ped.2009.13,1.8,16,cm,54,147,0.384058,1.13378,0,-1,1.8,1
hermes_uni_closed,ug-180-030,10.34735/ped.2009.13,1.8,16,cm,88,175,0.577538,1.02925,0,-1,1.8,1
hermes_uni_closed,ug-180-060,10.34735/ped.2009.13,1.8,16,cm,160,195,1.19713,0.75712,0,-1,1.8,1
hermes_uni_closed,ug-180-085,10.34735/ped.2009.13,1.8,16,cm,159,243,1.40472,0.589728,0,-1,1.8,1
hermes_uni_closed,ug-180-095,10.34735/ped.2009.13,1.8,16,cm,364,453,2.14856,0.474598,0,-1,1.8,1
hermes_uni_closed,ug-180-110,10.34735/ped.2009.13,1.8,16,cm,195,394,1.86925,0.366376,0,-1,1.8,1
hermes_uni_closed,ug-180-110v2,10.34735/ped.2009.13,1.8,16,cm,282,340,1.73891,0.544376,0,-1,1.8,1
hermes_uni_closed,ug-180-140,10.34735/ped.2009.13,1.8,16,cm,315,592,2.68226,0.2594,0,-1,1.8,1
hermes_uni_closed,ug-180-230,10.34735/ped.2009.13,1.8,16,cm,235,414,3.23822,0.295581,0,-1,1.8,1
hermes_uni_open,uo-050-180-180,10.34735/ped.2009.14,1.8,16,cm,61,83,0.595238,1.38893,0,-1,1.8,1
hermes_uni_open,uo-060-180-180,10.34735/ped.2009.14,1.8,16,cm,66,87,0.575684,1.39317,0,-1,1.8,1
hermes_uni_open,uo-065-240-240,10.34735/ped.2009.14,2.4,16,cm,70,89,0.464286,1.48057,0,-1,2.4,1
hermes_uni_open,uo-070-180-180,10.34735/ped.2009.14,1.8,16,cm,111,130,0.697168,1.3613,0,-1,1.8,1
hermes_uni_open,uo-080-240-240,10.34735/ped.2009.14,2.4,16,cm,118,119,0.589158,1.43059,0,-1,2.4,1
hermes_uni_open,uo-080-300-300,10.34735/ped.2009.14,3,16,cm,119,139,0.4,1.45154,0,-1,3,1
hermes_uni_open,uo-080-300-300v2,10.34735/ped.2009.14,3,16,cm,105,108,0.450192,1.53238,0,-1,3,1
hermes_uni_open,uo-095-240-240,10.34735/ped.2009.14,2.4,16,cm,108,97,0.679113,1.41064,0,-1,2.4,1
hermes_uni_open,uo-100-180-180,10.34735/ped.2009.14,1.79,16,cm,121,102,1.14525,1.20917,0.01,-1,1.8,1
hermes_uni_open,uo-100-300-300,10.34735/ped.2009.14,3,16,cm,100,90,0.52619,1.45307,0,-1,3,1
hermes_uni_open,uo-120-300-300,10.34735/ped.2009.14,3,16,cm,163,120,0.657986,1.45529,0,-1,3,1
hermes_uni_open,uo-145-180-180,10.34735/ped.2009.14,1.8,16,cm,175,130,1.58387,1.00669,0,-1,1.8,1
hermes_uni_open,uo-145-240-240,10.34735/ped.2009.14,2.4,16,cm,155,100,1.01823,1.3216,0,-1,2.4,1
hermes_uni_open,uo-180-180-070,10.34735/ped.2009.14,1.8,16,cm,148,166,2.93442,0.364005,0,-1.005,1.8,0.995
hermes_uni_open,uo-180-180-095,10.34735/ped.2009.14,1.8,16,cm,159,174,2.38728,0.443814,0,-1.005,1.8,0.995
hermes_uni_open,uo-180-180-120,10.34735/ped.2009.14,1.8,16,cm,170,144,2.02729,0.69139,0,-1.005,1.8,0.995
hermes_uni_open,uo-180-180-180,10.34735/ped.2009.14,1.8,16,cm,220,161,1.60422,1.0026,0,-1,1.8,1
hermes_uni_open,uo-180-300-300,10.34735/ped.2009.14,3,16,cm,208,106,1.13889,1.21155,0,-1,3,1
hermes_uni_open,uo-190-240-240,10.34735/ped.2009.14,2.4,16,cm,218,125,1.59512,0.994509,0,-1,2.4,1
hermes_uni_open,uo-240-240-100,10.34735/ped.2009.14,2.4,16,cm,254,223,2.68362,0.361599,0,-1.005,2.4,0.995
hermes_uni_open,uo-240-240-130,10.34735/ped.2009.14,2.4,16,cm,247,177,2.45124,0.500117,0,-1.005,2.4,0.995
hermes_uni_open,uo-240-240-160,10.34735/ped.2009.14,2.4,16,cm,276,179,2.07022,0.653848,0,-1.005,2.4,0.995
hermes_uni_open,uo-240-240-240,10.34735/ped.2009.14,2.4,16,cm,246,132,1.85096,0.909901,0,-1,2.4,1
hermes_uni_open,uo-240-300-300,10.34735/ped.2009.14,3,16,cm,296,121,1.43986,1.17552,0,-1,3,1
hermes_uni_open,uo-300-300-080,10.34735/ped.2009.14,2.99,16,cm,270,298,3.26087,0.180534,0.01,-1.005,3,0.995
hermes_uni_open,uo-300-300-120,10.34735/ped.2009.14,3,16,cm,348,241,2.76857,0.340494,0,-1.005,3,0.995
hermes_uni_open,uo-300-300-160,10.34735/ped.2009.14,3,16,cm,288,171,2.25791,0.515548,0,-1.005,3,0.995
hermes_uni_open,uo-300-300-200,10.34735/ped.2009.14,3,16,cm,351,178,2.20892,0.608158,0,-1.005,3,0.995
hermes_uni_open,uo-300-300-300,10.34735/ped.2009.14,3,16,cm,349,144,1.80409,0.949942,0,-1,3,1
basigo_uni_corr,uni_corr_500_01,10.34735/ped.2013.6,5,16,m,142,134,0.288889,1.46698,-1,0,1,5
basigo_uni_corr,uni_corr_500_02,10.34735/ped.2013.6,5,25,m,760,384,0.733117,1.15772,-1,0,1,5
basigo_uni_corr,uni_corr_500_03,10.34735/ped.2013.6,5,16,m,916,307,1.41878,0.887994,-1,0,1,5
basigo_uni_corr,uni_corr_500_04,10.34735/ped.2013.6,5,16,m,909,308,1.94593,0.64598,-1,0,1,5
basigo_uni_corr,uni_corr_500_05,10.34735/ped.2013.6,5,16,m,933,301,2.07027,0.585967,-1,0,1,5
basigo_uni_corr,uni_corr_500_06,10.34735/ped.2013.6,5,16,m,952,325,2.22857,0.500727,-1,0,1,5
basigo_uni_corr,uni_corr_500_07,10.34735/ped.2013.6,5,16,m,936,393,2.47796,0.371119,-1,0,1,5
basigo_uni_corr,uni_corr_500_08,10.34735/ped.2013.6,5,16,m,918,413,2.58024,0.355819,-1,0,1,5
basigo_uni_corr,uni_corr_500_09,10.34735/ped.2013.6,5,16,m,440,569,2.97648,0.053099,-1,0,1,5
